,start_frame,peak_frame,end_frame,duration,start_brightness,peak_brightness,end_brightness,next_intervals,next_intervals_count,prev_intervals,prev_intervals_count,ratios,ratios_count,prev_interval,next_interval
107,3160.0,3161.0,3161.0,2.0,9.191066642959444e-05,0.0001338925199827,0.0001338925199827,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,46.0,43.0
108,3202.0,3204.0,3206.0,5.0,9.23594122328271e-05,0.0001052042572329,9.661648266185428e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,43.0,4.0
109,3208.0,3208.0,3208.0,1.0,8.880592751777968e-05,8.880592751777968e-05,8.880592751777968e-05,['1.0'],1,['1.0'],1,[0.13],1,4.0,30.0
110,3236.0,3238.0,3240.0,5.0,9.13738208509152e-05,0.0001038318307294,9.774045838286785e-05,"['0.5', '1.0']",2,"['0.13', '0.18', '0.32', '0.5', '1.0']",5,[0.18 0.5  1.  ],3,30.0,45.0
111,3282.0,3283.0,3283.0,2.0,9.10786599177225e-05,9.658939788361355e-05,9.658939788361355e-05,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,45.0,44.0
112,3326.0,3327.0,3328.0,3.0,0.0001037895251206,0.0001056191618243,8.992654302224183e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,44.0,29.0
113,3356.0,3356.0,3356.0,1.0,8.515101864281656e-05,8.515101864281656e-05,8.515101864281656e-05,['0.5'],1,[],0,[],0,29.0,4.0
114,3358.0,3360.0,3362.0,5.0,8.920870859781114e-05,0.0001569225086371,9.206060717361774e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,4.0,45.0
115,3404.0,3405.0,3406.0,3.0,9.742221597211708e-05,0.000124486754413,8.82137564091083e-05,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,45.0,45.0
116,3445.0,3450.0,3453.0,9.0,8.852512642557632e-05,0.0001062243470514,8.758338050906368e-05,"['0.13', '0.5', '1.0']",3,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,45.0,32.0
117,3479.0,3482.0,3485.0,7.0,9.016959569818456e-05,0.0001056354343166,8.723513543323021e-05,"['0.5', '1.0']",2,"['0.13', '0.18', '0.32', '0.5', '1.0']",5,[0.18 0.5  1.  ],3,32.0,44.0
118,3526.0,3526.0,3527.0,2.0,9.605475222205804e-05,9.605475222205804e-05,9.266752790775862e-05,['0.32'],1,"['0.32', '0.5', '1.0']",3,[0.18 0.32],2,44.0,45.0
119,3570.0,3571.0,3572.0,3.0,9.862515613401597e-05,0.0001038860135828,9.248654430412446e-05,"['0.13', '0.32', '0.5']",3,"['0.5', '1.0']",2,[0.13 0.32],2,45.0,25.0
120,3596.0,3596.0,3596.0,1.0,8.728224505200805e-05,8.728224505200805e-05,8.728224505200805e-05,[],0,[],0,[],0,25.0,7.0
121,3603.0,3603.0,3603.0,1.0,8.687468752191178e-05,8.687468752191178e-05,8.687468752191178e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[],0,7.0,4.0
122,3606.0,3607.0,3608.0,3.0,0.0001034992760012,0.0001317404331007,9.299366072469654e-05,"['0.5', '1.0']",2,"['0.18', '0.5', '1.0']",3,[0.18 0.5  1.  ],3,4.0,44.0
123,3651.0,3651.0,3652.0,2.0,0.0001087880102863,0.0001087880102863,0.000100079482845,"['0.32', '0.5', '1.0']",3,"['0.32', '1.0']",2,[0.18 0.32 0.5  1.  ],4,44.0,45.0
124,3693.0,3696.0,3699.0,7.0,8.618902290019651e-05,0.0001046439458554,8.41403132974418e-05,"['0.13', '0.32', '0.5', '1.0']",4,['1.0'],1,[0.13 0.32 0.5  1.  ],4,45.0,6.0
125,3702.0,3702.0,3702.0,1.0,8.843359502610155e-05,8.843359502610155e-05,8.843359502610155e-05,['0.13'],1,[],0,[0.13],1,6.0,26.0
126,3727.0,3728.0,3732.0,6.0,9.078132549990624e-05,0.0001074532783286,8.511816197112863e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,26.0,8.0
127,3736.0,3736.0,3736.0,1.0,8.488244547642863e-05,8.488244547642863e-05,8.488244547642863e-05,[],0,"['0.13', '0.18']",2,[],0,8.0,37.0
